"","meanS","sdmeanS","meanFDR","sdmeanFDR"
"Megan2_m2000m11_200mua4nrep_50_Megan",189.58,0.445466964349244,0.0500666194766114,0.00234842865675847
"Megan2_m2000m11_200mua4nrep_50_Daisy",190.36,3.59951924227531,0.103569345567843,0.00427334218616028
"Megan2_m2000m11_200mua2nrep_50_Megan",13.46,1.0150741402499,0.0469089770270298,0.00942076752582278
"Megan2_m2000m11_200mua2nrep_50_Daisy",41.76,1.15795738527912,0.11191376806681,0.00589502520506263
"Megan2_m2000m11_200mua1nrep_50_Megan",0.2,0.0755928946018454,0.04,0.0279941684889506
"Megan2_m2000m11_200mua1nrep_50_Daisy",0.1,0.0428571428571429,0,0
"Megan2_m2000m11_400mua4nrep_50_Megan",375.76,0.738205214540991,0.0490934860677429,0.00184725225083019
"Megan2_m2000m11_400mua4nrep_50_Daisy",356.64,13.8492395724348,0.139482224937234,0.0102237617954212
"Megan2_m2000m11_400mua2nrep_50_Megan",21.84,1.81655875607857,0.0346601222495754,0.00548639340721362
"Megan2_m2000m11_400mua2nrep_50_Daisy",127.76,1.84425417700157,0.159887211721394,0.0043477064963991
"Megan2_m2000m11_400mua1nrep_50_Megan",0.1,0.0589015089373951,0.0466666666666667,0.0285872971805783
"Megan2_m2000m11_400mua1nrep_50_Daisy",0.26,0.127166931910102,0.0257142857142857,0.0206878790162844
