"","meanS","sdmeanS","meanFDR","sdmeanFDR"
"Megan_ni_10m11_400mnds_2nrep_50_Megan",257.34,1.68222641588037,0.0470442278870782,0.00201828077164276
"Megan_ni_10m11_400mnds_2nrep_50_Daisy",270.1,9.33054015541634,0.116705224363165,0.01086014077455
"Megan_ni_10m11_400mnds_1nrep_50_Megan",77.04,1.47854313292456,0.0390967290101451,0.00325023160304185
"Megan_ni_10m11_400mnds_1nrep_50_Daisy",141.38,4.36487744410319,0.163836605664198,0.00618899156836621
"Megan_ni_10m11_100mnds_2nrep_50_Megan",63.8,0.595219047314276,0.0505358818659106,0.00398087376968354
"Megan_ni_10m11_100mnds_2nrep_50_Daisy",70.48,0.455568718354166,0.0967771831473269,0.00494073869469622
"Megan_ni_10m11_100mnds_1nrep_50_Megan",20.9,0.795009947312944,0.0366121955495515,0.00531671321492619
"Megan_ni_10m11_100mnds_1nrep_50_Daisy",28.08,0.746605925614889,0.082340320606684,0.00767556709587482
"Megan_ni_4m11_400mnds_2nrep_50_Megan",85.8,1.47440752542179,0.0466146616972242,0.00318619834853883
"Megan_ni_4m11_400mnds_2nrep_50_Daisy",198.18,1.30765095511309,0.171085762388604,0.00318467081308184
"Megan_ni_4m11_400mnds_1nrep_50_Megan",4.8,0.445384493374854,0.00916666666666667,0.0070720698763234
"Megan_ni_4m11_400mnds_1nrep_50_Daisy",39.64,1.20670237102812,0.156796887256466,0.00803820008982946
"Megan_ni_4m11_100mnds_2nrep_50_Megan",22.58,1.00816665289028,0.0407015709841679,0.00652914409645864
"Megan_ni_4m11_100mnds_2nrep_50_Daisy",33.78,0.861555309321699,0.0830177317380684,0.00678742743996952
"Megan_ni_4m11_100mnds_1nrep_50_Megan",1.56,0.288783514708418,0.0366666666666667,0.0229808162133593
"Megan_ni_4m11_100mnds_1nrep_50_Daisy",3.48,0.451970741332233,0.0653975468975469,0.0181181154734835
"n_2000pi0_0.8mua_4nrep_50_Megan",393.28,0.3959385646016,0.0473169795848119,0.00151994350119471
"n_2000pi0_0.8mua_4nrep_50_Daisy",391.24,1.81705300766187,0.0378054313052088,0.00163310610611572
"n_2000pi0_0.8mua_2nrep_50_Megan",82.2,2.73406328398161,0.0205127457890084,0.00284615520723037
"n_2000pi0_0.8mua_2nrep_50_Daisy",121.74,1.97944745949418,0.0364413781613547,0.00218914739042577
"n_2000pi0_0.8mua_1nrep_50_Megan",0.26,0.0848046975980333,0,0
"n_2000pi0_0.8mua_1nrep_50_Daisy",0.28,0.103174114772959,0,0
"n_2000pi0_0.9mua_4nrep_50_Megan",194.22,0.383634605065916,0.0455711742233284,0.00226546888620457
"n_2000pi0_0.9mua_4nrep_50_Daisy",194.92,0.330540682605247,0.0427116250840431,0.00181534751880803
"n_2000pi0_0.9mua_2nrep_50_Megan",29.72,1.47911722155549,0.0224427998023223,0.00337653535323277
"n_2000pi0_0.9mua_2nrep_50_Daisy",43.06,1.06269199945906,0.0377843420859726,0.0040803703928095
"n_2000pi0_0.9mua_1nrep_50_Megan",0.06,0.0339266916772512,0.02,0.02
"n_2000pi0_0.9mua_1nrep_50_Daisy",0.04,0.04,0,0
