"temp.a" "temp.b" "temp.c"
"MEU19" NA NA NA
"MEU3" NA 0.00137723783957476 NA
"MISC_RNA105769" 0.572437328809872 NA NA
"MISC_RNA109080" 0.00333127272352794 0.495829169676291 0.0365061763240038
"MISC_RNA118407" NA NA NA
"MISC_RNA120494" 0.000196082171028664 NA 1.86211584478213e-08
"MISC_RNA132804" 3.25836947038636e-05 NA 0.542605325810429
"MISC_RNA207286" 0.0807031928253472 NA 9.49626162935966e-12
"MISC_RNA233263" 0.442183936407553 0.161980752978649 8.65562403066725e-10
"MISC_RNA236381" 4.31019122482371e-09 0.0581392529594407 NA
"MISC_RNA24300" NA 0.0542872213762573 0.625623008881067
"MISC_RNA259045" NA NA NA
"MISC_RNA278050" 0.0408330772364991 0.910391974431981 0.000118493985159198
"MISC_RNA280447" NA 0.332909899173637 NA
"MISC_RNA282325" NA NA NA
"MISC_RNA300407" 0.343609670676829 0.0115952903252089 0.0296707661968020
"MISC_RNA314818" 5.39612021535892e-06 0.324318917138549 2.45999607085236e-07
"MISC_RNA372339" NA NA NA
"MISC_RNA42581" NA NA NA
"MISC_RNA4497" NA NA NA
"MISC_RNA471042" 0.549225485094782 0.0724707607537464 0.00462567222256417
"MISC_RNA473659" NA NA 0.960816790576886
"MISC_RNA49780" 0.00613014109686018 NA 2.42215468103286e-06
"MISC_RNA633381" NA NA 0.0527583041035812
"MISC_RNA90568" 0.000228185669960871 NA 0.304150064826636
"MISC_RNA91669" NA NA 0.00502727871720908
"MISC_RNA921905" 0.0148265840699529 0.335843880929358 0.421654767515859
"MISC_RNA922542" NA NA 8.60903857705133e-08
"MISC_RNA94420" 0.0283729840633262 0.0285759305279053 NA
"MISC_RNA96922" NA NA NA
"MISC_RNA989942" 0.0655476206798439 0.551469395726959 0.000386640196669901
"MRNA1000493" 0.0521660956755555 0.228370353424406 2.83730190226072e-05
"MRNA1283113" NA NA NA
"MRNA1588047" NA NA NA
"MRNA165557" NA NA 0.359388923141815
"MRNA18108" NA NA NA
"MRNA185584" 2.72416542220406e-08 NA 0.00309174386645839
"MRNA1926204" NA NA 0.205129152732691
"MRNA19936" 0.0550737917469709 NA NA
"MRNA225514" NA NA 0.0707726237217175
"MRNA2554179" 4.68676831785448e-05 0.0144374076586832 0.00453139112181822
"MRNA3358474" 0.000684980049968253 NA 0.250522574337109
"MRNA338590" 0.0533969163997903 0.10657693530193 0.213776969980111
"MRNA446742" 0.0230188985795571 NA 5.4008680529683e-06
"MRNA554088" 0.391635931315509 0.124016497182692 3.12901422391373e-07
"MRNA605243" NA NA NA
"MRNA66850" NA NA NA
"MRNA773143" NA NA NA
"MRNA774779" NA NA 0.000392901553634144
"MRNA83388" 1.25608952678178e-05 0.0214978694771663 0.0242662009285925
"MRNA924118" 0.689261513230222 0.0257770536651734 0.0352254378035213
"SNR52" 2.45219844423608e-13 NA 1.50903840596342e-05
"SNRNA1103978" NA NA NA
"SNRNA1228332" 5.77023708354454e-06 0.0180305189425831 0.00120309659322353
"SNRNA139452" NA NA NA
"SNRNA1683233" NA NA 0.715946137282666
"SNRNA2342098" 0.00997264647320962 0.72891762817136 NA
"SNRNA386724" 0.358692431237648 0.260474185225643 4.50636164468639e-06
"SNRNA929542" NA NA NA
"SNU1" NA NA NA
"SNU5" NA NA NA
"SP-SNR38-SNO" NA NA NA
"SP-SNR39B-SNO" NA NA NA
"SP-SNR40-SNO" NA NA NA
"SP-SNR41-SNO" NA NA NA
"SP-SNR47-SNO" NA NA NA
"SP-SNR51B-SNO" 4.80239792739004e-10 NA 0.0221594469230068
"SP-SNR54-SNO" NA NA NA
"SP-SNR54B-SNO" NA NA NA
"SP-SNR56-SNO" NA NA NA
"SP-SNR58-SNO" NA NA NA
"SP-SNR69-SNO" NA NA NA
"SP-SNR69B-SNO" NA NA NA
"SP-SNR70-SNO" NA NA NA
"SP-U24B-SNO" 0.0911268925470163 NA NA
"SP-Z16-SNO" 5.96977244589984e-08 NA 0.0080699629029183
"SPAC1002.02" 0.00793586038676518 NA 0.00241023629406168
"SPAC1002.03C" 0.852040618380495 0.0176108511125918 0.000451343138529813
"SPAC1002.04C" NA NA NA
"SPAC1002.05C" NA NA 0.081545247194387
"SPAC1002.06C" NA NA NA
"SPAC1002.07C" NA NA 1.11180227076904e-09
"SPAC1002.08C" 0.371807805303213 0.00527024295966005 NA
"SPAC1002.09C" 0.122409391328647 0.000556350934899238 4.5229868983158e-09
"SPAC1002.10C" NA 0.0311611299290533 0.0438275529492281
"SPAC1002.11" NA NA 0.00981170091108687
"SPAC1002.12C" 0.711685844382428 0.0576608238427234 0.0377222331402866
"SPAC1002.13C" 0.00424921508842703 0.00514641514675625 3.48416092820559e-06
"SPAC1002.14" 0.263371383364182 NA 0.632083677107012
"SPAC1002.15C" NA NA 0.140383749176679
"SPAC1002.16C" NA NA NA
"SPAC1002.17C" 3.07276593640503e-05 9.57468241922704e-05 6.17888965971594e-07
"SPAC1002.18" 0.00428137140291278 0.000162997482031347 1.02976662996943e-07
"SPAC1002.19" 0.0569099723080921 0.00735597492913101 3.60140793753457e-05
"SPAC1002.20" NA NA NA
"SPAC1002.21" NA NA NA
"SPAC1006.01" 0.00270720068111103 NA 0.000337825114521770
"SPAC1006.02" NA NA 0.0442505122769819
"SPAC1006.03C" 0.152472894458456 NA NA
"SPAC1006.04C" NA NA NA
"SPAC1006.05C" NA 0.937841571814398 NA
"SPAC1006.06" NA 0.0460683410257699 0.266950033621311
"SPAC1006.08" NA NA 1.42748895560184e-07
"SPAC1006.09" 0.640029281364695 0.0109415251284466 0.131736377151251
"SPAC1039.01" 0.0113137741934542 NA 0.000870938719989414
"SPAC1039.02" 6.57763448634123e-05 NA 5.08439189338892e-06
"SPAC1039.03" 0.364075290038734 NA 0.00183949332201894
"SPAC1039.04" 0.11731522279227 NA NA
"SPAC1039.05C" NA 0.81836681948886 NA
"SPAC1039.06" 0.164630391140647 NA 0.000127764323412470
"SPAC1039.07C" NA NA 6.23239180251993e-06
"SPAC1039.08" NA NA NA
"SPAC1039.09" 0.000487516846072776 NA 0.00635213933626368
"SPAC1039.10" NA NA NA
"SPAC1039.11C" NA 0.00416776726973529 0.0537143306929818
"SPAC105.01C" NA NA 0.00211977202936283
"SPAC105.02C" 0.384165891652818 NA 0.02077422043818
"SPAC105.03C" 0.913628106293039 NA 0.0165049223484149
"SPAC1071.02" 0.497959574886275 0.426582919694113 0.340804686247247
"SPAC1071.03C" 0.000840930685472425 NA NA
"SPAC1071.04C" NA NA NA
"SPAC1071.05" 0.76273186735181 0.224827786538143 0.144630728853764
"SPAC1071.06" 0.00361432587306686 NA 0.0647917685102732
"SPAC1071.07C" 0.322846986146441 NA 0.126084202859346
"SPAC1071.08" 4.69578085269458e-05 0.000292008409670946 0.0883416668056957
"SPAC1071.09C" NA 2.69713844029142e-05 3.22701051323915e-09
"SPAC1071.10C" 5.1874036774869e-05 0.157753498116619 0.0237451396084673
"SPAC1071.11" 0.0643261004988588 0.791580631775133 0.0349144160522231
"SPAC1071.12C" 0.00140634975934898 0.0121511139194754 0.054787346641395
"SPAC1093.02" NA 0.274890756567900 0.000105281626309854
"SPAC1093.04C" 0.455189315593468 0.0622736297390796 NA
"SPAC1093.05" 0.0394405139501845 0.0424692562938458 0.000468069410759996
"SPAC1093.06C" NA NA 0.000745451225510976
"SPAC10F6.02C" 0.269270995670362 0.817346845807603 0.00139328218454837
"SPAC10F6.03C" 0.253511089894457 0.261496846699255 NA
"SPAC10F6.04" NA NA 0.00277034792452998
"SPAC10F6.05C" NA 0.191886318083073 0.283167938155225
"SPAC10F6.06" 0.064086379592158 0.580608731875262 0.0135705288764992
"SPAC10F6.07C" NA NA 0.840333076733746
"SPAC10F6.08C" 0.554241044986186 0.407393778257154 0.0378768293928712
"SPAC10F6.09C" NA NA 2.80536667800265e-06
"SPAC10F6.10" 0.361424115715536 0.822014480554566 0.0180826386892713
"SPAC10F6.11C" NA NA 0.115539292975981
"SPAC10F6.12C" NA 0.0214982264859023 0.211510971595863
"SPAC10F6.13C" 0.821965966017067 NA 1.08458609862136e-06
"SPAC10F6.14C" NA NA 5.62569888751835e-06
"SPAC10F6.15" NA NA 8.62385367521577e-07
"SPAC10F6.16" 0.160572969005950 0.274797815324623 1.20297944226177e-08
"SPAC110.02" 0.23151097939767 NA 0.0078671337492994
"SPAC110.03" 0.585959853429972 0.0942556294208868 NA
"SPAC110.04C" 0.683544682036339 NA NA
"SPAC1142.04" NA NA 0.0858984562617596
"SPAC1142.05" 0.36936193745856 0.00076310338377148 3.88578833545594e-08
"SPAC1142.06" 0.194905078504488 NA 1.06486801896543e-05
"SPAC1142.07C" NA NA 0.0212411914137235
"SPAC1142.08" 0.228916759266849 0.420163708111335 0.0152321248434536
"SPAC1142.09" NA NA NA
"SPAC11D3.01C" NA 0.936730477710428 0.000637412815228947
"SPAC11D3.02C" NA 0.126349711976107 NA
"SPAC11D3.03C" NA 0.0216543311611018 0.000322684121511052
"SPAC11D3.04C" 0.00053958942061652 NA 1.01643786557431e-09
"SPAC11D3.05" 0.00923805033429173 NA NA
"SPAC11D3.06" 0.0197808812393104 0.0433055507867716 6.60250244553625e-05
"SPAC11D3.07C" NA NA 0.202419661980873
"SPAC11D3.08C" NA NA 0.00374847121906486
"SPAC11D3.09" NA NA 0.000878608013847716
"SPAC11D3.10" NA NA 1.60192301709142e-06
"SPAC11D3.13" 0.000827266926567006 0.0539018438430122 0.0532385793981907
"SPAC11D3.14C" NA NA NA
"SPAC11D3.15" 0.348544753805225 0.944636788877282 0.176689551172650
"SPAC11D3.16C" NA NA 0.369680075600037
"SPAC11D3.17" NA NA NA
"SPAC11D3.18C" 0.0477942127000291 NA 0.00066230596270099
"SPAC11E3.02C" 0.800556096552174 0.230621714212429 0.0436341024183763
"SPAC11E3.03" NA NA NA
"SPAC11E3.04C" 0.996421416910122 0.288477772704965 0.157789151741292
"SPAC11E3.05" NA NA 0.0193301005708946
"SPAC11E3.06" NA NA NA
"SPAC11E3.07" 0.693250842798782 0.234673887959728 6.58045699683429e-09
"SPAC11E3.08C" 0.467594377384252 0.283399630191922 0.0884276654352585
"SPAC11E3.09" 0.666629239392525 0.254861975070613 0.0816505978781711
"SPAC11E3.10" 0.285854548690674 0.0153939900257299 0.445193575188039
"SPAC11E3.11C" NA NA 0.0109121165691774
"SPAC11E3.12" 0.676353688486523 NA 0.0742418400884934
"SPAC11E3.13C" 0.00134672533327047 3.24625907553916e-07 1.50371926558932e-09
"SPAC11E3.14" 0.335198536985602 0.256930276245068 0.000652132607537446
"SPAC11E3.15" 0.000657930254301886 0.33204069154182 0.000989871841635875
"SPAC11G7.01" 0.104852609659184 NA 0.0760614999898088
"SPAC11G7.02" 0.0984256247786639 0.327240468566784 0.119024980069114
"SPAC11G7.03" 0.579781476059695 NA 0.0782441473296824
"SPAC11G7.04" 0.000458645055596604 0.8042346119513 0.0152220053533121
"SPAC11G7.05C" NA NA NA
"SPAC11G7.06C" 0.62198574485506 NA 0.336681122124805
"SPAC11H11.01" 0.210861189944187 0.798508133663851 0.290452752851699
"SPAC11H11.02C" 0.154993394526607 0.0897843106011025 0.390688674837785
"SPAC11H11.03C" NA NA 9.52546593408237e-05
"SPAC11H11.04" 0.281827451605238 NA NA
"SPAC11H11.05C" NA NA 0.717646912757905
"SPAC11H11.06" 0.359276082156188 NA 0.148706135283612
"SPAC1250.01" 0.00627216829155795 NA NA
"SPAC1250.02" 0.92395942075347 0.283408805322252 0.0361919682683041
"SPAC1250.03" 0.965881924042274 0.0571227511433164 0.00135734280402648
"SPAC1250.04C" NA NA 0.0156724476028192
"SPAC1250.05" NA 0.716579288150806 0.00491513788450486
"SPAC1296.02" 0.000108660920177537 0.552675864921234 0.0291452715236169
"SPAC1296.03C" 0.207503927530048 NA NA
"SPAC1296.04" NA 0.390638579562628 6.077552415072e-06
"SPAC1296.05C" NA 0.0182788496328547 NA
"SPAC1296.06" 0.328326170361882 NA 0.0111685391163695
"SPAC12B10.02C" NA NA 0.000457251033653124
"SPAC12B10.03" NA NA 1.77936378270972e-10
"SPAC12B10.04" 0.985566374611455 0.124524408778587 0.184313261037366
"SPAC12B10.05" 0.200865909426869 0.137195434132030 NA
"SPAC12B10.06C" 0.00117583247555861 0.446620484037722 0.00502869753082839
"SPAC12B10.07" 0.0991443248898102 NA 0.00232398741556111
"SPAC12B10.08C" NA NA 0.000151272478153909
"SPAC12B10.09" NA 0.0283842239800508 0.00114444429568489
"SPAC12B10.10" NA NA 0.473492094293213
"SPAC12B10.11" 0.866394148660567 0.590612109388733 0.0123112586750025
"SPAC12B10.12C" 0.0139746888694326 NA 0.0854563126776788
"SPAC12B10.13" 0.927337151847186 NA 0.0586081731051571
"SPAC12B10.14C" NA NA NA
"SPAC12B10.15C" NA NA NA
"SPAC12B10.16C" 0.774852790721509 NA 0.106378890548206
"SPAC12B10.18" NA NA 2.17468475815157e-07
"SPAC12D12.09" 0.347049085326777 0.159040182182577 0.343203109884357
"SPAC12G12.01C" NA NA NA
"SPAC12G12.02" 2.06068190434509e-06 0.719948667884623 0.0949123799431473
"SPAC12G12.03" 0.789762268572944 NA NA
"SPAC12G12.04" 0.0142727706484814 0.148921932576074 2.11209793097409e-09
"SPAC12G12.05C" NA NA NA
"SPAC12G12.06C" 0.119861163512500 NA 0.12249734963216
"SPAC12G12.07C" 0.849581795808252 NA 0.0361450039758229
"SPAC12G12.08" NA 0.0878015508235873 0.0575555719356043
"SPAC12G12.09" NA NA NA
"SPAC12G12.10" NA NA NA
"SPAC12G12.11C" 0.107606036609838 NA NA
"SPAC12G12.12" 0.696077880636093 0.361943414191809 5.62338407455388e-08
"SPAC12G12.13C" NA NA 0.0143914743672565
"SPAC12G12.14C" NA NA NA
"SPAC12G12.15" 0.135129963815746 0.94206977387681 0.926640649948221
"SPAC1348.01" NA NA 0.000124374312201636
"SPAC1348.02" 0.0103792273709253 NA 4.92749624571272e-08
"SPAC1348.03" NA NA NA
"SPAC1348.04" NA NA 2.5405282882203e-07
"SPAC1348.05" NA NA NA
"SPAC1348.06C" NA NA NA
"SPAC1348.07" NA NA 0.00040391036683517
"SPAC1348.08C" 0.000175691514553195 0.0558320010640134 7.87693841225307e-11
"SPAC1348.09" NA NA NA
"SPAC1348.10C" NA NA NA
"SPAC1348.14C" NA NA 1.65473210653100e-09
"SPAC139.02C" 0.265800838480839 0.994171665062422 NA
"SPAC139.03" NA NA 0.187296151002029
"SPAC139.04C" NA 0.739614884877974 0.0155921371331145
"SPAC139.05" 0.339287129729463 NA NA
"SPAC139.06" 0.30903400940294 0.440088846019117 NA
"SPAC1399.01C" NA NA 0.699566280822733
"SPAC1399.02" NA NA NA
"SPAC1399.03" 0.519211379473217 0.215411286319073 0.122593495665583
"SPAC1399.04C" NA 0.00365619821117912 4.94779437904592e-06
"SPAC1399.05C" NA NA 0.773976576306711
"SPAC13A11.02C" 0.00971231219247635 0.538869448064168 1.02371221595743e-07
"SPAC13A11.03" NA 0.0121618815018131 NA
"SPAC13A11.04C" 0.810695173709271 NA NA
"SPAC13A11.05" 0.55893569522708 NA NA
"SPAC13A11.06" NA NA NA
"SPAC13C5.01C" 0.311340030931996 0.337393295774793 NA
"SPAC13C5.02" 0.74642955861481 0.413481562736627 0.0110411269430606
"SPAC13C5.03" NA NA 0.00247495558595522
"SPAC13C5.04" 0.0216940339718903 0.326966737646378 NA
"SPAC13C5.05C" 0.17369712785132 0.498625005363669 0.00150954286766761
"SPAC13C5.06C" 0.0272802829223496 0.0895664307159035 0.00121776031249867
"SPAC13C5.07" 0.177190909186981 0.610182958166453 0.167792207820419
"SPAC13D1.01C" 0.428100907029327 0.280575896205679 5.39767361828186e-08
"SPAC13D1.02C" NA 0.116720478104122 NA
"SPAC13D6.01" 0.0426144441217878 0.00612736031044409 2.03824283004539e-05
"SPAC13D6.02C" 0.00228948258497939 0.62967851829919 0.124412385515980
"SPAC13D6.03C" 0.239994387023486 NA 0.386292393970531
"SPAC13D6.04C" 0.146372251332068 0.0446746201781946 0.0273137322760708
"SPAC13F5.01C" NA NA 0.875841093245449
"SPAC13F5.02C" 0.602501373890693 0.625340079853998 NA
"SPAC13F5.03C" NA NA 0.00210367264382645
"SPAC13F5.04C" 0.0108628408360374 NA NA
"SPAC13F5.05" NA NA NA
"SPAC13F5.06C" NA NA 0.166915967702476
"SPAC13F5.07C" NA NA 0.0990129440820381
"SPAC13G6.02C" 2.31466109413712e-05 0.54912548239467 0.000175912023466829
"SPAC13G6.03" NA 0.0710961208433378 0.00313688756862682
"SPAC13G6.04" 1.23021276821973e-07 NA NA
